,company_ceo,company_name,company_employees
496,Christophe Weber,Takeda Pharmaceutical Company,"47,000"
497,Edward D. Breen,Dupont De Nemours,"28,000"
498,Chris Kubasik,L3harris Technologies,"47,000"
499,Joseph M. Hogan,Align Technology,"22,540"
500,William C. Rhodes III,Autozone,"100,000"
501,Onur Genc,Banco Bilbao Vizcaya Argentaria,"110,432"
502,Thomas L. Williams,Parker-hannifin Corporation,"54,640"
503,,Fiat Chrysler Automobiles,"191,752"
504,Enrique Lores,Hp Inc,"51,000"
505,Rolf Eberhard Buch,Vonovia Se,"10,622"
506,Kentaro Kawabe,Z Holdings Corporation,"12,874"
507,Choi Soo-yeon,Naver Corporation,"4,076"
508,Brian P. Hannasch,Alimentation Couche-tard,"131,000"
509,Christopher J. Nassetta,Hilton Worldwide Holdings,"142,000"
510,Jeff Lawson,Twilio,"7,867"
511,Ignatius Navil Noronha,Avenue Supermarts,"1,567"
512,Dominic Blakemore,Compass Group,"478,070"
513,Dan Amos,Aflac,"12,447"
514,Yoshiharu Inaba,Fanuc Corporation,"8,256"
515,Todd M. Schneider,Cintas Corporation,"40,000"
516,Kevin Hourican,Sysco Corporation,"58,000"
517,Jeff Harmening,General Mills,"35,000"
518,Marc Rowan,Apollo Global Management,"2,153"
519,Jamie Iannone,Ebay,"10,800"
520,Ola Rollen,Hexagon Ab (publ),"20,532"
521,Henry R. Kravis,Kkr & Co,"3,238"
522,,Bank Of Ningbo,"17,337"
523,Jean Jereissati,Ambev,"50,479"
524,Sunao Manabe,Daiichi Sankyo Company,"16,033"
525,Veronique Penchienati Bosetta,Danone,"101,911"
526,Alan D. Schnitzer,The Travelers Companies,"30,800"
527,Satoru Komiya,Tokio Marine Holdings,"41,101"
528,Chang Jae-hoon,Hyundai Motor Company,"71,504"
529,Albert Manifold,Crh Plc,"79,200"
530,David Gibbs,Yum! Brands,"36,000"
531,David J. Endicott,Alcon,"23,655"
532,Jayshree Ullal,Arista Networks,"2,993"
533,Michael H. McGarry,Ppg Industries,"27,500"
534,Ji Xiaohui,Shanghai Pudong Development Bank,"58,200"
