,company_ceo,company_name,company_employees
3206,,Huaneng Renewables Corporation,
3207,,Microstrategy,"2,121"
3208,,Hoshizaki Corporation,"12,982"
3209,,Johnson Matthey,"15,352"
3210,,Yunnan Yuntianhua,
3211,,Natura & Co,"18,000"
3212,,Lightspeed Pos,"1,165"
3213,,Beijing United Information Technology,
3214,,Iridium Communications,543
3215,,Exponent,"1,201"
3216,,Lotus Bakeries Nv,"2,155"
3217,,National Instruments Corporation,"7,100"
3218,,Engie Brasil Energia,"1,600"
3219,,Stericycle,"15,000"
3220,,"Dongguan Yiheda Automation Co., Ltd.",
3221,,Impulsora Del Desarrollo Y El Empleo En America Latina,
3222,,Blueprint Medicines Corporation,383
3223,,Cyfrowy Polsat,
3224,,Pb Fintech Limited,
3225,,Shanxi Xishan Coal And Electricity Power,
3226,,Pt Adaro Energy Tbk,"23,000"
3227,,Sieyuan Electric,
3228,,Sfs Group Ag,"10,692"
3229,,"Jiangsu Goodwe Power Supply Technology Co., Ltd",
3230,,Cabot Microelectronics Corporation,"4,500"
3231,,Ito En,"5,398"
3232,,"Luoyang Xinqianglian Slewing Bearing Co., Ltd.",
3233,,Southwest Securities,"2,357"
3234,,Beijing Enlight Media,
3235,,Frasers Group,"19,962"
3236,,Wuhan Zhongshang Commercial Group,
3237,,"Mister Car Wash, Inc.","3,500"
3238,,Colgate-palmolive (india),"2,324"
3239,,Zhongan Online P & C Insurance,"3,033"
3240,,Sichuan New Energy Power Company Limited,
3241,,Sl Green Realty,"1,058"
3242,,Alk-abello A/s,
3243,,Mazda Motor Corporation,"50,479"
3244,,Dashenlin Pharmaceutical Group,
3245,,Sinotrans,"36,441"
3246,,Pepkor Holdings,
3247,,Avichina Industry & Technology Company,
3248,,Juneyao Airlines Co. Ltd,
3249,,Evercore,"1,950"
3250,,"China Bohai Bank Co., Ltd.",
3251,,Zai Lab,"1,194"
3252,,Tenable Holdings,"1,617"
3253,,Wanda Film Holding,
3254,,Chinalin Securities,"1,290"
3255,,Altair Engineering,"2,800"
3256,,Keio Corporation,"2,547"
3257,,Argo Investments,
3258,,Sinolink Securities,
3259,,"Farasis Energy (gan Zhou) Co., Ltd.","3,670"
3260,,Kintetsu Groupholdings,"30,491"
3261,,United Bankshares,"2,966"
3262,,Cloudera,"2,728"
3263,,Mgic Investment Corporation,724
3264,,Ngk Insulators,"20,115"
3265,,Zhongji Innolight,
3266,,Livzon Pharmaceutical Group,"8,367"
3267,,Wendy's Company,"14,000"
3268,,Italgas,
3269,,Cit Group,"4,500"
3270,,Umb Financial Corporation,"3,529"
3271,,Driven Brands Holdings Inc.,"4,900"
3272,,Dksh Holding,
3273,,Terminix Global Holdings,"11,700"
3274,,De'longhi,"8,607"
3275,,Meritz Financial Group,20
3276,,Winning Health Technology Group,
3277,,Evn Ag,"7,428"
3278,,Universal Scientific Industrial (shanghai),
3279,,Autobio Diagnostics,
3280,,Seaworld Entertainment,"14,200"
3281,,Kingfa Sci. & Tech,"10,258"
3282,,Avanza Bank Holding Ab (publ),450
3283,,Air Lease Corporation,129
3284,,Mimecast,"1,800"
3285,,Anhui Jianghuai Automobile Group,
3286,,Lite-on Technology Corporation,
3287,,Essent Group,381
3288,,China Merchants Energy Shipping,"3,562"
3289,,Man Wah Holdings,"20,503"
3290,,Direct Line Insurance Group,"10,762"
3291,,Pt Sinar Mas Multiartha Tbk,"7,354"
3292,,Halozyme Therapeutics,145
3293,,Wendel,
3294,,Wpx Energy,590
3295,,Angelalign Technology Inc.,
3296,,Shanghai Oriental Pearl Group,"7,232"
3297,,Bluestar Adisseo Company,
3298,,Cathay Pacific Airways,"33,000"
3299,,Hangzhou Great Star Industrial,"6,435"
3300,,Vonage Holdings,"2,082"
3301,,Ememory Technology,
3302,,China Biologic Products Holdings,
3303,,Accton Technology Corporation,"5,223"
3304,,Granite Real Estate Investment Trust,50
3305,,Convatec Group,"9,400"
3306,,Shenergy Company,
3307,,Blackstone Mortgage Trust,"3,165"
3308,,Abbott India,"3,551"
3309,,Independence Realty Trust,485
3310,,Aecc Aero-engine Control,"7,369"
3311,,China Taiping Insurance Holdings Company,"65,957"
3312,,Clean Harbors,"18,300"
3313,,Blue Moon Group Holdings Limited,
3314,,Endeavour Mining Corporation,400
3315,,Rumo,
3316,,Zhejiang Huahai Pharmaceutical,"6,655"
3317,,Armstrong World Industries,"2,800"
3318,,Guoyuan Securities Company,"3,529"
3319,,Greek Organization Of Football Prognostics,"1,503"
3320,,Shandong Intco Medical Products,"6,503"
3321,,Mapletree Industrial Trust,
3322,,Container Corporation Of India,"1,426"
3323,,"Cricut, Inc.",830
3324,,Ashok Leyland,"11,463"
3325,,Crispr Therapeutics Ag,410
3326,,Kingboard Holdings,"41,900"
3327,,Zoox,"1,274"
3328,,Canva,
3329,,Fomento De Construcciones Y Contratas,
3330,,Katerra,"1,770"
3331,,Impossible Foods,561
3332,,Houzz,"1,763"
3333,,Gusto,"1,431"
3334,,Ginkgo Bioworks,641
3335,,Dada Group,
3336,,Bitmain,
3337,,Fabege Ab (publ),
3338,,Cpfl Energia,"13,008"
3339,,Zhejiang Juhua,"6,778"
3340,,Kraken,275
3341,,Wm Motor,
3342,,Vipkid,
3343,,United Imaging,
3344,,Ubtech,"1,000"
3345,,Tripactions,700
3346,,Sofi,"2,800"
3347,,Royole,
3348,,Opendoor Labs,835
3349,,Niantic,"1,089"
3350,,Woowa Brothers,900
3351,,Quidel Corporation,"1,250"
3352,,Derwent London,
3353,,Powszechny Zaklad Ubezpieczen Sa,"43,310"
3354,,Vontier Corporation,"8,800"
3355,,Ampol Limited,"7,644"
3356,,Sinopec Oilfield Service Corporation,
3357,,Adani Power,"2,400"
3358,,Andritz Ag,"28,400"
3359,,Megvii,
3360,,Trent,
3361,,Iskenderun Demir Ve Celik,"4,702"
3362,,Balchem Corporation,"1,317"
3363,,Tfs Financial Corporation,"1,005"
3364,,Semtech Corporation,"1,394"
3365,,Topdanmark A/s,
3366,,Kingboard Laminates Holdings,"9,500"
3367,,Varta Ag,"4,800"
3368,,Ziff Davis Inc,"4,900"
3369,,Ebos Group,
3370,,"Zhejiang Orient Gene Biotech Co., Ltd.","1,392"
3371,,Metropolitan Bank & Trust Co,
3372,,Bucher Industries Ag,
3373,,Yunnan Tin Company,"15,379"
3374,,National Petrochemical Company,
3375,,Pdc Energy,535
3376,,Cd Projekt,"1,111"
3377,,"Hayward Holdings, Inc.","2,800"
3378,,Kurita Water Industries,"6,737"
3379,,Power Integrations,773
3380,,Qatar Electricity & Water Company,
3381,,Jungheinrich,"18,019"
3382,,Eqm Midstream Partners Lp,771
3383,,Merlin Properties Socimi,218
3384,,Marel,
3385,,Yangzhou Yangjie Electronic Technology,"2,771"
3386,,Rogers Corporation,"3,675"
3387,,Mbank,
3388,,Qatar Gas Transport Company (nakilat) (qpsc),
3389,,Avient Corporation,"8,700"
3390,,Ebara Corporation,
3391,,Shenghe Resources Holding Co. Ltd,
3392,,Fti Consulting,"6,780"
3393,,Guangzhou Yuexiu Financial Holdings Group,
3394,,Valmont Industries,"11,041"
3395,,Shanghai Construction Group,"42,762"
3396,,Blue Owl Capital Inc.,350
3397,,Evoqua Water Technologies,"4,000"
3398,,Honeywell Automation India,"3,310"
3399,,Shenzhen Kedali Industry,"3,036"
3400,,Cj Cheiljedang Corporation,"7,595"
3401,,Tianma Microelectronics,"37,484"
3402,,Vicor Corporation,"1,074"
3403,,Blackberry,"3,497"
3404,,Denali Therapeutics,380
3405,,Nine Dragons Paper (holdings),"18,740"
3406,,Raytron Technology,
3407,,Kinsale Capital Group,375
3408,,Renishaw,"4,797"
3409,,Rli Corp,913
3410,,American National Insurance Company,"4,600"
3411,,Cofinimmo Sa,
3412,,Hino Motors,"34,548"
3413,,Clicks Group,"14,945"
3414,,Digital Turbine,844
3415,,Inpost S.a.,
3416,,Minth Group,
3417,,New Residential Investment,"12,296"
3418,,Bank Of Changsha,"7,411"
3419,,Acadia Healthcare Company,"22,500"
3420,,Betta Pharmaceuticals,"1,466"
3421,,Baycurrent Consulting,"2,058"
3422,,Macom Technology Solutions Holdings,"1,100"
3423,,Keyera,959
3424,,"Autel Intelligent Technology Corp., Ltd.","2,316"
3425,,Western Mining,
3426,,Dr. Martens Plc,
3427,,Aac Technologies Holdings,"39,385"
3428,,Hubei Energy Group,
3429,,Ryman Hospitality Properties,593
3430,,Cirrus Logic,"1,591"
3431,,Shandong Sunpaper,"11,202"
3432,,Do-fluoride Chemicals,"4,348"
3433,,Shanghai Electric Power Company,
3434,,Jiangxi Zhengbang Technology,"23,853"
3435,,Richter Gedeon Vegyeszeti Gyar Nyilvanosan Mukodo,
3436,,Victoria's Secret & Co.,
3437,,Banco De Credito E Inversiones,"10,560"
3438,,Ultragenyx Pharmaceutical,"1,119"
3439,,Signature Aviation,"4,800"
3440,,Navistar International Corporation,"12,100"
3441,,Brother Industries,"37,697"
3442,,Maxlinear,"1,503"
3443,,Guizhou Space Appliance,
3444,,Chart Industries,"4,771"
3445,,Atacadao,
3446,,Eva Airways,
3447,,Youngor Group,"22,022"
3448,,Au Small Finance Bank,"17,112"
3449,,Cdk Global,"6,500"
3450,,Murphy Usa,"14,615"
3451,,Wangfujing Group,"11,634"
3452,,Sitime Corporation,279
3453,,Sino-american Silicon Products,753
3454,,Tianjin 712 Communication & Broadcasting,"2,106"
3455,,Evolution Mining Limited,"1,448"
3456,,Inmobiliaria Colonial Socimi,200
3457,,Kakaku.com,"1,155"
3458,,Futu Holdings,"1,315"
3459,,North Industries Group Red Arrow Co. Ltd,
3460,,Stoneco,"5,938"
3461,,Rabigh Refining And Petrochemical Company,
3462,,Securitas Ab,"355,000"
3463,,Travel + Leisure Co.,"16,800"
3464,,Pt Bank Brisyariah Tbk,
3465,,Deliveroo Plc,"2,300"
3466,,Spirit Aerosystems Holdings,"16,100"
3467,,Signet Jewelers,
3468,,Iray Technology Company Limited,
3469,,Vontobel Holding Ag,"2,094"
3470,,Polycab India Limited,
3471,,Callaway Golf Company,"4,200"
3472,,Cromwell Property Group,
3473,,Societa Iniziative Autostradali E Servizi,
3474,,Hyundai Steel Company,"11,540"
3475,,Ningbo Orient Wires & Cables,"1,138"
3476,,Bankinter,"8,668"
3477,,New Fortress Energy Llc,671
3478,,Southwestern Energy Company,938
3479,,Chongqing Fuling Zhacai Group,
3480,,Travelsky Technology,"7,233"
3481,,"Ncino, Inc.","1,203"
3482,,Glanbia,"7,385"
3483,,Storebrand Asa,"2,200"
3484,,Ps Business Parks,156
3485,,Agree Realty Corporation,57
3486,,Screen Holdings,"6,074"
3487,,Astral Poly Technik,
3488,,Qatar Fuel Company Q.p.s.c.(woqod),
3489,,China Spacesat,"4,100"
3490,,H. Lundbeck A/s,"5,806"
3491,,Premier,"2,600"
3492,,Banca Generali,"72,644"
3493,,Shenzhen Yuto Packaging Technology,
3494,,Hopson Development Holdings,"10,385"
3495,,Keboda Technology,
3496,,Micro-star International,
3497,,Science Applications International Corporation,"26,000"
3498,,Punjab National Bank,"103,000"
3499,,Carsales.com Ltd,"1,200"
3500,,Bb Biotech Ag,
3501,,Atos Se,"110,000"
3502,,Santen Pharmaceutical,"4,108"
3503,,"Inner Mongolia Yuan Xing Energy Co.,ltd","4,887"
3504,,Baoji Titanium Industry,"3,920"
3505,,Atkore International Group,"4,000"
3506,,Atotech Ltd,"3,862"
3507,,Highwoods Properties,442
3508,,Shell Midstream Partners,
3509,,"Petco Health & Wellness Company, Inc.","27,000"
3510,,Fujian Torch Electron Technology,"1,826"
3511,,Meinian Onehealth Healthcare Holdings,
3512,,Wuchan Zhongda Group,"20,322"
3513,,Xiamen Tungsten,"13,819"
3514,,Sportradar,"2,300"
3515,,Walker & Dunlop,"1,305"
3516,,China Everbright International,"13,800"
3517,,Qualys,"1,823"
3518,,Antero Midstream Corporation,522
3519,,Wingstop,240
3520,,Jiangxi Special Electric Motor,"2,729"
3521,,Logmein,"3,974"
3522,,Herbalife Nutrition,"10,800"
3523,,Titan Wind Energy (suzhou),"2,483"
3524,,Range Resources Corporation,527
3525,,Icu Medical,"8,500"
3526,,Concordia Financial Group,"5,995"
3527,,Lg Uplus,"10,221"
3528,,Tosoh Corporation,"13,336"
3529,,Amedisys,"21,000"
3530,,Ig Group Holdings,
3531,,Matador Resources Company,286
3532,,Chongqing Water Group,
3533,,Tata Elxsi,"6,577"
3534,,Dalmia Bharat Limited,"8,500"
3535,,Cushman & Wakefield,"50,000"
3536,,Skc,
3537,,Yadea Group Holdings,"4,341"
3538,,Hanover Insurance Group,"4,400"
3539,,Banco Bpm Societa Per Azioni,"22,000"
3540,,Travis Perkins,"30,000"
3541,,Boral Limited,"16,169"
3542,,Jiangsu Cnano Technology,234
3543,,Fisker Inc.,
3544,,Dufry Ag,
3545,,Aurizon Holdings,"4,883"
3546,,Sprott Physical Gold Trust,
3547,,Tangshan Jidong Cement,"23,442"
3548,,Matsumotokiyoshi Holdings,"6,569"
3549,,Bank Of Guizhou,"5,169"
3550,,Jetblue Airways Corporation,"19,466"
3551,,Dermapharm Holding Se,
3552,,Alliancebernstein Holding,"4,118"
3553,,Maximus,"35,800"
3554,,1&1 Ag,"3,163"
3555,,Indian Railway Finance Corporation Limited,
3556,,Mcafee Corp.,"6,396"
3557,,Kite Realty Group Trust,241
3558,,Cecep Wind-power Corporation,929
3559,,"Sd Biosensor, Inc",281
3560,,Orbia Advance Corporation,
3561,,Jonjee Hi-tech Industrial & Commercial Holding,"5,120"
3562,,Ruentex Development,
3563,,Univar Solutions,"9,450"
3564,,"China Southern Power Grid Energy Efficiency&clean Energy Co.,ltd.",
3565,,Kimberly-clark De Mexico S. A. B. De C. V,"8,892"
3566,,Beam Therapeutics Inc.,341
3567,,Beijing Kunlun Tech,753
3568,,Zibo Qixiang Tengda Chemical Co. Ltd,"2,467"
3569,,Enstar Group,"1,189"
3570,,Selective Insurance Group,"2,440"
3571,,John Bean Technologies Corporation,"6,600"
3572,,Entertainment One,
3573,,Harbour Energy Plc,
3574,,Telekom Malaysia Berhad,
3575,,Voltronic Power Technology,"3,300"
3576,,Gruma,
3577,,"Dt Midstream, Inc.",280
3578,,Brembo,
3579,,Gates Industrial Corporation,"15,050"
3580,,First Capital Securities,"3,285"
3581,,Murphy Oil Corporation,696
3582,,Olam International,"81,650"
3583,,Arena Reit,
3584,,Oji Holdings Corporation,"36,810"
3585,,Portland General Electric Company,"2,839"
3586,,Tobu Railway,"20,112"
3587,,Capcom,"2,988"
3588,,Stevanato Group S.p.a.,
3589,,Servisfirst Bancshares,502
3590,,Wuhu Token Sciences,
3591,,Top Glove Corporation Bhd,"19,000"
3592,,Trulieve Cannabis,"4,700"
3593,,Leroy Seafood Group Asa,
3594,,Netcompany Group A/s,
3595,,Green Thumb Industries,"1,700"
3596,,Cnooc Energy Technology & Services,
3597,,"Shanghai Zhonggu Logistics Co., Ltd.",
3598,,Abcam,"1,492"
3599,,Ortho Clinical Diagnostics Holdings Plc,"4,700"
3600,,Pan American Silver,"6,800"
3601,,Altran Technologies,"50,124"
3602,,Mouwasat Medical Services Company,
3603,,Oatly Group Ab,792
3604,,Guangdong Electric Power Development,
3605,,G-bits Network Technology (xiamen),751
3606,,Polar Capital Technology Trust,
3607,,Lazard Ltd,
3608,,Inchcape,"17,300"
3609,,Colas Sa,
3610,,Hexpol Ab (publ),
3611,,Hangzhou Changchuan Technology,924
3612,,Hancock Whitney Corporation,"3,486"
3613,,Anhui Honglu Steel Construction(group) Co. Ltd,
3614,,Melexis Nv,"1,449"
3615,,Varonis Systems,"2,065"
3616,,Brookfield Infrastructure Corporation,
3617,,Ofilm Group,
3618,,Swiggy,"11,000"
3619,,Yokogawa Electric Corporation,"18,107"
3620,,Lancaster Colony Corporation,"3,200"
3621,,Onto Innovation,"1,411"
3622,,Park Hotels & Resorts,488
3623,,Silgan Holdings,"15,600"
3624,,Elekta Ab (publ),
3625,,"Shift4 Payments, Inc.","1,753"
3626,,Brunello Cucinelli,"2,127"
3627,,"Beijing Beimo High-tech Frictional Material Co.,ltd",
3628,,Axis Capital Holdings,"1,921"
3629,,Coforge,"11,000"
3630,,Watches Of Switzerland Group,
3631,,Msc Industrial Direct,"6,571"
3632,,Hawaiian Electric Industries,"2,504"
3633,,Bharat Forge,"5,153"
3634,,Bezeq Israel Telecommunication Corporation,
3635,,Yes Bank,"23,800"
3636,,Atlas Arteria,"3,332"
3637,,Sophos Group,"3,500"
3638,,Shimizu Corporation,"10,384"
3639,,"Amplitude, Inc.",490
3640,,Yihai International Holding,"2,127"
3641,,Beijing Enterprises Holdings,"40,000"
3642,,Tikehau Capital,
3643,,Fibra Plus,
3644,,Guangzhou Development Group,"5,543"
3645,,Saracen Mineral Holdings,
3646,,Cecep Solar Energy,"1,833"
3647,,Herc Holdings,"4,800"
3648,,Erg Spa,
3649,,Sichuan Yahua Industrial Group,"4,025"
3650,,Schneider National,"16,050"
3651,,Youngy,
3652,,Summit Materials,"5,500"
3653,,Healthcare Realty Trust,277
3654,,Papa John's International,"14,000"
3655,,Lawson,"10,572"
3656,,Ams Ag,"30,000"
3657,,Aedifica Sa,
3658,,Persistent Systems,"10,600"
3659,,Btg Hotels (group),
3660,,Melco Resorts & Entertainment,"19,746"
3661,,Oracle Financial Services Software,"8,001"
3662,,Tsuruha Holdings,"41,474"
3663,,Sumitomo Dainippon Pharma,"6,646"
3664,,Guangzhou Baiyun International Airport,"11,360"
3665,,Grg Banking Equipment,954
3666,,Deepak Nitrite,"1,472"
3667,,Hicl Infrastructure,491
3668,,Championx Corporation,"7,000"
3669,,Genting Berhad,"55,000"
3670,,Siltronic Ag,"3,800"
3671,,Teradata Corporation,"7,200"
3672,,Tibet Summit Resources,"2,007"
3673,,Luxi Chemical Group,"12,511"
3674,,Quora,850
3675,,Chiba Bank,"4,509"
3676,,Krungthai Card Public Company,
3677,,Ppb Group Berhad,"4,800"
3678,,Fate Therapeutics,449
3679,,Brilliance China Automotive Holdings,"5,611"
3680,,Shenzhen Salubris Pharmaceuticals,"4,270"
3681,,Arrival,"1,300"
3682,,Dong-e-e-jiao,"4,509"
3683,,Bank Aljazira,"2,584"
3684,,Hexcel Corporation,"4,863"
3685,,Seaboard Corporation,"13,200"
3686,,Liaoning Cheng Da,"3,199"
3687,,Acom,"10,764"
3688,,Incitec Pivot Limited,"5,000"
3689,,Cleanaway Waste Management,"6,000"
3690,,City Developments,
3691,,Ses,"2,159"
3692,,Hangzhou Oxygen Plant Group,"4,453"
3693,,Cencosud,"15,891"
3694,,Grupo Nutresa S. A.,"46,000"
3695,,True Corporation Public Company,
3696,,Als Limited,"15,638"
3697,,Rappi,
3698,,Giant Manufacturing,
3699,,Nomad Foods,
3700,,Riyue Heavy Industry Coltd,"3,485"
3701,,Interparfums Sa,396
3702,,"Cerevel Therapeutics Holdings, Inc.",
3703,,Root Insurance,901
3704,,N26,"1,500"
3705,,Indigo Ag,450
3706,,Greensill,792
3707,,Grail,490
3708,,Savola Group Company,"26,000"
3709,,Sichuan Hebang Biotechnology Corporation Limited,"4,803"
3710,,Da An Gene Of Sun Yat-sen University,
3711,,Huishang Bank Corporation,"10,688"
3712,,Nippon Shinyaku,"2,026"
3713,,Inner Mongolia Eerduosi Resources,"21,222"
3714,,Jointown Pharmaceutical Group,"25,796"
3715,,Jollibee Foods Corporation,"11,808"
3716,,Compagnie Du Cambodge,
3717,,Huhtamaki Oyj,"18,600"
3718,,Sinotruk (hong Kong),"23,147"
3719,,Adient,"77,000"
3720,,Indian Overseas Bank,"26,354"
3721,,Iljin Materials,526
3722,,Wus Printed Circuit (kunshan),
3723,,"Alight, Inc.","16,000"
3724,,Bwx Technologies,"6,600"
3725,,Aurubis Ag,"7,400"
3726,,Henan Mingtai Al.industrial,"5,301"
3727,,Compania Sud Americana De Vapores,
3728,,Dillard's,"40,000"
3729,,Shenzhen Sunlord Electronics,
3730,,"Paycor Hcm, Inc.","1,945"
3731,,Maanshan Iron & Steel Company Limited,"28,454"
3732,,Enviva Partners Lp,"1,196"
3733,,Diodes,"8,921"
3734,,Allied Properties Real Estate Investment Trust,328
3735,,Option Care Health,"7,238"
3736,,Chacha Food Company,"4,603"
3737,,Sichuan Kelun Pharmaceutical,"19,759"
3738,,Financiere De Tubize Sa,
3739,,Nuveen Amt-free Quality Municipal Income Fund,
3740,,"Taskus, Inc.","40,100"
3741,,Equitrans Midstream Corporation,766
3742,,Northam Platinum Holdings,
3743,,Brighthouse Financial,"1,500"
3744,,Relaxo Footwears,"7,852"
3745,,Warby Parker Inc.,"1,746"
3746,,Black Hills Corporation,"2,863"
3747,,Yangquan Coal Industry (group),
3748,,Mapletree Commercial Trust,
3749,,Yangling Metron New Material Inc.,
3750,,Industrias Penoles,
3751,,Logan Property Holdings Company,"3,315"
3752,,Saudi Research And Marketing Group,
3753,,Greencoat Uk Wind,
3754,,Jl Mag Rare-earth,"3,038"
3755,,Minda Industries,"3,895"
3756,,Fujian Sunner Development,"23,477"
3757,,Tube Investments Of India,"3,302"
3758,,Fabrinet,"11,506"
3759,,Petronet Lng,508
3760,,Haitian International Holdings,"6,668"
3761,,Exlservice Holdings,"37,400"
3762,,Stadler Rail Ag,"8,500"
3763,,Shanghai Milkground Food Tech Co. Ltd,
3764,,William Hill,
3765,,Stroer Se & Co. Kgaa,"13,000"
3766,,Hla,
3767,,Minor International Public Company,
3768,,National General Holdings,"9,200"
3769,,Huaibei Miningholdings,"52,564"
3770,,Hengdian Group Dmegc Magnetics,"14,468"
3771,,Oberoi Realty,792
3772,,Nexans S.a.,
3773,,Remgro,
3774,,Ensign Group,"25,900"
3775,,Coway Co. Ltd,
3776,,Softcat,"1,500"
3777,,Bluefocus Intelligent Communications Group,
3778,,Rand Merchant Investment Holdings,
3779,,Salvatore Ferragamo,
3780,,Beijing Shunxin Agriculture,
3781,,Wyndham Destinations,"8,000"
3782,,Guangzhou Rural Commercial Bank,"13,941"
3783,,Melisron,252
3784,,Aventus Group,
3785,,Umpqua Holdings Corporation,"4,000"
3786,,Smithson Investment Trust,
3787,,Myokardia,
3788,,Ingenia Communities Group,
3789,,Nordnet Ab (publ),
3790,,Kerry Logistics Network,"43,600"
3791,,China Jinmao Holdings Group,"11,404"
3792,,Harbin High-tech (group),
3793,,"Sinomach Heavy Equipment Group Co.,ltd",
3794,,Toyo Suisan Kaisha,"4,866"
3795,,Uol Group,"1,900"
3796,,Asm Pacific Technology,"15,200"
3797,,Games Workshop Group,"2,436"
3798,,Moscow Exchange Micex-rts,
3799,,Genting Malaysia Berhad,"56,000"
3800,,Corem Property Group Ab (publ),
3801,,Sasa Polyester Sanayi,"4,022"
3802,,Yuan Long Ping High-tech Agriculture,188
3803,,Livanova,"4,000"
3804,,Advance Residence Investment Corporation,
3805,,Aperam,"9,500"
3806,,Dometic Group Ab (publ),
3807,,Vir Biotechnology,444
3808,,"Maravai Lifesciences Holdings, Inc.",490
3809,,Shenzhen Kinwong Electronic,
3810,,Trupanion,"1,131"
3811,,Bank Of East Asia,"9,670"
3812,,Aritzia,"3,500"
3813,,Huolinhe Opencut Coal Industry Corporation Of Inner Mongolia,"7,507"
3814,,Cohen & Steers,354
3815,,Waypoint Reit Limited,
3816,,Vopak,"5,688"
3817,,Indraprastha Gas,703
3818,,Shanghai Tofflon Science And Technology,"2,661"
3819,,Ming Yuan Cloud Group Holdings Limited,
3820,,Harvey Norman Holdings,"5,732"
3821,,Petershill Partners Plc,
3822,,"Doubleverify Holdings, Inc.",647
3823,,First International Bank Of Israel Ltd,
3824,,"Jinan Shengquan Group Share Holding Co., Ltd.",
3825,,Winbond Electronics Corporation,"4,510"
3826,,Keisei Electric Railway,"10,851"
3827,,F.n.b. Corporation,"4,180"
3828,,Hiscox Ltd,
3829,,Power Finance Corporation,484
