,company_ceo,company_name
481,Jeffrey S. Sloan,GLOBAL PAYMENTS
482,,COSCO SHIPPING HOLDINGS
483,Charles F. Lowrey,PRUDENTIAL FINANCIAL
484,David Hsu,JARDINE STRATEGIC HOLDINGS
485,George Kurtz,CROWDSTRIKE HOLDINGS
486,,HAIER SMART HOME
487,Katsunori Maruyama,SMC CORPORATION
488,Joachim Wenning,MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT
489,David Velez Osorno,NU HOLDINGS LTD.
490,Joseph M. Hogan,ALIGN TECHNOLOGY
491,Chris Kubasik,L3HARRIS TECHNOLOGIES
492,Edward D. Breen,DUPONT DE NEMOURS
493,Christophe Weber,TAKEDA PHARMACEUTICAL COMPANY
494,Gregory W. Becker,SVB FINANCIAL GROUP
495,Nick Read,VODAFONE GROUP
496,Daniel Ek,SPOTIFY TECHNOLOGY
497,Brian Cassin,EXPERIAN
498,Greg Brown,MOTOROLA SOLUTIONS
499,Jon Vander Ark,REPUBLIC SERVICES
500,Christopher J. Nassetta,HILTON WORLDWIDE HOLDINGS
501,Brian P. Hannasch,ALIMENTATION COUCHE-TARD
502,Choi Soo-yeon,NAVER CORPORATION
503,Kentaro Kawabe,Z HOLDINGS CORPORATION
504,Rolf Eberhard Buch,VONOVIA SE
505,Enrique Lores,HP INC
506,,FIAT CHRYSLER AUTOMOBILES
507,Thomas L. Williams,PARKER-HANNIFIN CORPORATION
508,Onur Genc,BANCO BILBAO VIZCAYA ARGENTARIA
509,William C. Rhodes III,AUTOZONE
510,Jamie Iannone,EBAY
511,Marc Rowan,APOLLO GLOBAL MANAGEMENT
512,Jeff Harmening,GENERAL MILLS
513,Kevin Hourican,SYSCO CORPORATION
514,Todd M. Schneider,CINTAS CORPORATION
515,Yoshiharu Inaba,FANUC CORPORATION
516,Dan Amos,AFLAC
517,Dominic Blakemore,COMPASS GROUP
518,Ignatius Navil Noronha,AVENUE SUPERMARTS
519,Jeff Lawson,TWILIO
520,Albert Manifold,CRH PLC
521,Chang Jae-hoon,HYUNDAI MOTOR COMPANY
522,Satoru Komiya,TOKIO MARINE HOLDINGS
523,Alan D. Schnitzer,THE TRAVELERS COMPANIES
524,Veronique Penchienati Bosetta,DANONE
525,Sunao Manabe,DAIICHI SANKYO COMPANY
526,Jean Jereissati,AMBEV
527,,BANK OF NINGBO
528,Henry R. Kravis,KKR & CO
529,Ola Rollen,HEXAGON AB (PUBL)
530,David Layton,PARTNERS GROUP HOLDING AG
531,Sumit Roy,REALTY INCOME CORPORATION
532,Michele Buck,THE HERSHEY COMPANY
533,,INNER MONGOLIA YILI INDUSTRIAL GROUP
534,,XPENG MOTORS
535,Ji Xiaohui,SHANGHAI PUDONG DEVELOPMENT BANK
536,Michael H. McGarry,PPG INDUSTRIES
537,Jayshree Ullal,ARISTA NETWORKS
538,David J. Endicott,ALCON
539,David Gibbs,YUM! BRANDS
540,,NUTRIEN
541,Yu Liang,CHINA VANKE
542,Helen Wong,OVERSEA-CHINESE BANKING CORPORATION
543,Roy Gori,MANULIFE FINANCIAL CORPORATION
544,Steven J. Kean,KINDER MORGAN
545,Peter Vanacker,NESTE OYJ
546,Ryuichi Isaka,SEVEN & I HOLDINGS
547,Tatsuo Yasunaga,MITSUI & CO.
548,Juan Ricardo Luciano,ARCHER-DANIELS-MIDLAND COMPANY
549,Ludwig N. Hantson,ALEXION PHARMACEUTICALS
550,Milton Maluhy Filho,ITAU UNIBANCO HOLDING
551,,JIANGSU YANGHE BREWERY JOINT-STOCK
552,Aiman Ezzat,CAPGEMINI SE
553,Mark S. Little,SUNCOR ENERGY
554,Joachim Kreuzburg,SARTORIUS STEDIM BIOTECH
555,Kong Qingwei,CHINA PACIFIC INSURANCE GROUP (CPIC)
556,Benoit Bazin,COMPAGNIE DE SAINT-GOBAIN
557,Dr. Detlef Trefzger,KUEHNE + NAGEL INTERNATIONAL AG
558,Kevin Murphy,FERGUSON
559,Greg C. Gantt,OLD DOMINION FREIGHT LINE
560,Shankh Mitra,WELLTOWER
561,Brian S. Tyler,MCKESSON CORPORATION
562,,WILL SEMICONDUCTOR
563,Blake D. Moret,ROCKWELL AUTOMATION
564,Johan Thijs,KBC GROUP NV
565,Jeff Green,THE TRADE DESK
566,,"BEIJING-SHANGHAI HIGH-SPEED RAILWAY CO.,LTD."
567,Sanjiv Bajaj,BAJAJ FINSERV
568,Jeffrey Stoops,SBA COMMUNICATIONS CORPORATION
569,Chen Hong,SAIC MOTOR CORPORATION
570,Gao Yingxin,BOC HONG KONG
571,Alison Rose,NATWEST GROUP
572,,KUAISHOU TECHNOLOCY
573,Borje Ekholm,ERICSSON
574,,ANTA SPORTS PRODUCTS
