,company_location,company_industry,company_revenue,company_name,company_employees,company_website
3003,"Rudeboksvagen 1, Lund, 22655",Industrial Goods and Machinery,$13.1B,Alfa Laval AB,"19,818",www.alfalaval.com
3004,"2645 Silver Crescent Dr, Charlotte, North Carolina, 28273-3566",Construction,$958.1M,JELD-WEN Holding Inc,"24,700",investors.jeld-wen.com
3005,"Route des Acacias 60, Geneva, Genf, 1211",Financial Services,,Pictet & Cie Group SCA,"5,040",www.pictet.com
3006,"501 N. Broadway, Attn: James G. Laschober, St. Louis, Missouri, 63102-2102",Financial Services,$6.6B,Stifel Financial Corp,"8,600",www.stifel.com
3007,"333 Dunsmuir Street, Vancouver, British Columbia, V6B5R3",Power,,BC Hydro,,www.bchydro.com
3008,"Glanbia House, Ring Road, Kilkenny, R95E866",Consumer Packaged Goods,$3.4B,Glanbia plc,"8,071",www.glanbia.com
3009,"Hahnstrasse 43, Frankfurt, Hessen, 60528",Technology and Communications,,T-Systems International GmbH,"37,500",www.t-systems.com
3010,"Praia De Botafogo 501 - 5. E 6. Andares, Rio De Janeiro, 22.250-040",Financial Services,$19.1B,Banco BTG Pactual SA,"4,900",www.btgpactual.com
3011,"225 N 13th Ave, Po Box 988, Laurel, Mississippi, 39441",Consumer Packaged Goods,,Sanderson Farms Inc,"2,021",sandersonfarms.com
3012,"1550 Wewatta Street, Suite 710, Denver, Colorado, 80202",Technology and Communications,$1.9B,Liberty Latin America Ltd,"11,900",lla.com
3013,"Evn Platz, Maria Enzersdorf, 2344",Power,$3.5B,EVN AG,"7,142",www.evn.at
