,company_ceo,company_country,company_founded,company_industry,company_name,company_rank
5589,Not found,Denmark,1994,"['Healthcare', 'Biotechnology']",BAVARIAN NORDIC A/S,5303
5590,Not found,USA,1980,"['Technology', 'Electronics', 'Electrical Products', 'Capital Goods']",SANMINA CORPORATION,5319
5591,Not found,China,Not found,"['Industries', 'Construction']",SUZHOU GOLD MANTIS CONSTRUCTION DECORATION,5314
5592,Not found,Japan,1917,"['Consumer Cyclical', 'Tyres', 'Rubber Products', 'Automobile', 'Automobile Parts']",YOKOHAMA RUBBER COMPANY,5315
5593,Not found,USA,1994,"['Financial Services', 'Asset Management']",GOLUB CAPITAL BDC,5317
5594,Not found,USA,2013,"['Real Estate', 'Consumer Services', 'Property Investments']",NATIONAL STORAGE AFFILIATES TRUST,5316
5595,Not found,South Korea,1977,"['Industries', 'Aerospace and Defense', 'Electronics', 'Defense Products', 'Aircraft Parts']",HANWHA SYSTEMS,5313
5596,Not found,China,Not found,"['Consumer Cyclical', 'Automobile Dealers']",PANG DA AUTOMOBILE TRADE CO. LTD,5318
5597,Not found,China,Not found,"['Technology', 'Software and IT']",JIANGSU HOPERUN SOFTWARE,5312
5598,Not found,China,Not found,['Real Estate'],GRANDJOY HOLDINGS GROUP,5321
5599,Not found,Germany,2002,"['Utilities', 'Renewable Energy', 'Electricity Generation', 'Power Generation']",ENCAVIS AG,5320
5600,Not found,USA,2015,"['Healthcare', 'HealthCare Products', 'Biotechnology', 'Biopharmaceutical']",ARCUS BIOSCIENCES,5322
5601,Not found,UK,1985,"['Consumer Cyclical', 'Restaurants', 'Food Service', 'Food Products']",DOMINO'S PIZZA GROUP,5329
5602,Not found,Saudi Arabia,1980,"['Consumer Cyclical', 'Retail']",ABDULLAH AL-OTHAIM MARKETS COMPANY,5328
5603,Not found,China,Not found,"['Industries', 'Heavy Machinery']",FIRST TRACTOR COMPANY,5330
5604,Not found,China,Not found,"['Basic Materials', 'Chemicals']",CHINA RISUN GROUP LIMITED,5326
5605,Not found,USA,1998,"['Healthcare', 'HealthCare Products', 'Pharmaceutical', 'Biopharmaceutical']",EMERGENT BIOSOLUTIONS,5325
5606,Not found,Not found,2008,Not found,"EXPENSIFY, INC.",5324
5607,Not found,Japan,Not found,"['Real Estate', 'Property Investments']",KENEDIX OFFICE INVESTMENT CORPORATION,5327
5608,Not found,USA,2007,"['Energy', 'Oil and Gas']",OASIS PETROLEUM,5323
5609,Not found,Germany,2005,"['Technology', 'Software and IT', 'Software Products']",TEAMVIEWER AG,5324
