,company_rank,company_name,company_industry,company_location
532,533,Aquafina,Mineral Water,"China, Hong Kong, India"
533,534,Panadol,Over-the-counter Pharmaceuticals,Regional
534,535,Chilsung Cider,Mineral Water,Korea
535,536,Shilla,Hotel,Korea
536,537,Regal,Menâs Shoes,Japan
537,538,Mazda,Car/Automobile,Regional
538,539,Allenâs,Sweets and Candy,Australia
539,540,FETnet,Mobile Service Provider,Taiwan
540,541,S26,Milk Powder,"China, Southeast Asia"
541,542,Fruit Tree,Fruit Juice,"Malaysia, Singapore"
542,543,Paos,Detergent,"Taiwan, Thailand"
543,544,York,Air Conditioner,"China, Malaysia"
544,545,China Pacific Insurance,Insurance,China
545,546,HermÃ¨s,Luxury Fashion Retailer,Regional
546,547,Hai Tian,Sauce/Condiment,China
547,548,DHC,Female Skincare Product,"China, Japan, Korea"
548,549,Crystal Jade,Restaurant Chain,"Hong Kong, Singapore"
549,550,Volkswagen,Car/Automobile,Regional
550,551,Blue Dart,Courier Company,India
551,552,Nan Shan,Insurance,Taiwan
552,553,Drypers,Diaper,India
553,554,ASO,Menâs/Womenâs Shoes,Taiwan
554,555,White Rabbit,Sweets and Candy,Regional
555,556,Sumitomo Misui (SMBC),Bank,Japan
556,557,Marriott,Hotel,Regional
557,558,SpiceJet Airlines,Budget Airlines,"India, Malaysia"
558,559,Pentax,Camera,Regional
559,560,Lexus,Car/Automobile,Regional
560,561,Pon Pon,Shower Gel/Soap,Taiwan
561,562,Public Bank,Bank,Malaysia
562,563,ICICI Prudential,Insurance,India
563,564,Yves Saint Laurent (YSL),Fragrance/Luxury Fashion Retailer,Regional
564,565,Masterfood,Sauce/Condiment,Australia
565,566,PosLaju,Courier Company,Malaysia
566,567,Habib Jewels,Jewellery,Malaysia
567,568,PCCW,Mobile Service Provider,Hong Kong
568,569,Yum Yum,Instant Noodles,Thailand
569,570,7-Up,Carbonated Soft Drink,"Australia, China"
570,571,Spencer,Convenience Store/Supermarket,India
571,572,China-SSS,Budget Airlines,China
572,573,Poh Kong,Jewellery,Malaysia
573,574,Dragonair,Full-service Airlines,"Hong Kong, China"
574,575,Little Swan,White Goods,China
575,576,Dairy Farmers,Milk,Australia
576,577,Maidong,Sports Drink,China
577,578,Thai Post,Courier Company,Thailand
578,579,Cerelac,Baby Food (excluding milk powder),"Australia, India"
579,580,Top,Detergent,"Japan, Malaysia, Singapore"
580,581,H-TWO-O,Sports Drink,Singapore
581,582,Patek Philippe,Watch,Regional
582,583,Rolls Royce,Car/Automobile,Regional
583,584,NAB,Bank,Australia
584,585,Thai Life Insurance,Insurance,Thailand
