ceo,country,employees,founded,industry,link,name,revenue
Richard A. Gonzalez,United States,"50,000",2013,Drugs & Biotechnology,https://www.forbes.com/companies/abbvie,AbbVie,$56.2B
Vasant Narasimhan,Switzerland,"108,000",1996,Drugs & Biotechnology,https://www.forbes.com/companies/novartis,Novartis,$51.6B
Mary T. Barra,United States,"94,448",1908,Automotive (Automotive and Suppliers),https://www.forbes.com/companies/general-motors,General Motors,$127B
Anders Opedal,Norway,"21,126",1972,Oil & Gas Operations,https://www.forbes.com/companies/equinor,Equinor,$88.4B
Heng Xuan Su,China,"103,262",2003,Insurance,https://www.forbes.com/companies/china-life-insurance,China Life Insurance,$130.5B
Severin Schwan,Switzerland,"100,920",1896,Drugs & Biotechnology,https://www.forbes.com/companies/roche-holding,Roche Holding,$68.7B
Yuan Xiang Li,Hong Kong,"23,000",1919,Insurance,https://www.forbes.com/companies/aia-group,AIA Group,$45.2B
Michel A. Khalaf,United States,"43,000",1868,Insurance,https://www.forbes.com/companies/metlife,MetLife,$71.1B
Mike Henry,Australia,"80,000",1885,"Construction, Oil & Gas Operations, Mining and Chemicals",https://www.forbes.com/companies/bhp-group-ltd,BHP Group,$65.5B
Edward P. Decker,Canada,"490,600",1978,Retail and Wholesale,https://www.forbes.com/companies/the-home-depot,The Home Depot,$151.2B
Stephen J. Squeri,United States,"22,000",1850,Banking and Financial Services,https://www.forbes.com/companies/american-express,American Express,$46.3B
Roland Emil Busch,Germany,"303,000",1847,"Engineering, Manufacturing",https://www.forbes.com/companies/siemens,Siemens,$76.5B
Carlos Tavares,Netherlands,"281,595",2021,Consumer Durables,https://www.forbes.com/companies/stellantis,Stellantis,$176.6B
Mario Greco,Switzerland,"56,000",1872,Insurance,https://www.forbes.com/companies/zurich-insurance-group,Zurich Insurance Group,$69.6B
Igor Ivanovich Sechin,Russia,Not found,1993,Oil & Gas Operations,https://www.forbes.com/companies/rosneft,Rosneft,$111.4B
Jakob Stausholm,United Kingdom,"49,000",1873,"Construction, Oil & Gas Operations, Mining and Chemicals",https://www.forbes.com/companies/rio-tinto,Rio Tinto,$63.5B
James Bruce Flatt,Canada,"150,000",1899,Banking and Financial Services,https://www.forbes.com/companies/brookfield-asset-management,Brookfield Asset Management,$78.8B
David Cordani,United States,"73,700",1792,Insurance,https://www.forbes.com/companies/cigna,Cigna,$174.3B
Charles F. Lowrey,United States,"15,364",1875,Banking and Financial Services,https://www.forbes.com/companies/prudential-financial,Prudential Financial,$70.9B
Ramon L. Laguarta,United States,"309,000",1965,"Food, Drink & Tobacco",https://www.forbes.com/companies/pepsico,PepsiCo,$79.5B
Robert M. Davis,United States,"27,000",1891,Drugs & Biotechnology,https://www.forbes.com/companies/merck-co,Merck & Co.,$50.4B
Gail K. Boudreaux,United States,"98,200",2004,Drugs & Biotechnology,https://www.forbes.com/companies/elevance-health,Elevance Health,$144.3B
Brian Johnston Porter,Canada,"89,488",1832,Banking,https://www.forbes.com/companies/bank-of-nova-scotia,Bank of Nova Scotia,$30.4B
Peter S. Zaffino,United States,"36,600",1919,Insurance,https://www.forbes.com/companies/american-international-group,American International Group,$52.1B
Gary Nagle,Switzerland,"135,000",1974,Materials,https://www.forbes.com/companies/glencore-international,Glencore International,$203.4B
Chuck Robbins,United States,"38,000",1984,"IT, Internet, Software & Services",https://www.forbes.com/companies/cisco-systems,Cisco Systems,$51.5B
Michel Dimitrios Doukeris,Belgium,"169,000",2008,"Food, Soft Beverages, Alcohol & Tobacco",https://www.forbes.com/companies/anheuser-busch-inbev,Anheuser-Busch InBev,$54.3B
Robert A. Chapek,United States,"190,000",1923,Media & Advertising,https://www.forbes.com/companies/walt-disney,Walt Disney,$73B
Evan G. Greenberg,Switzerland,"31,000",1985,Insurance,https://www.forbes.com/companies/chubb,Chubb,$41B
Zhen Ming Chang,Hong Kong,"310,000",1979,Trading Companies,https://www.forbes.com/companies/citic,CITIC,$91.2B
Charlie Nunn,United Kingdom,"57,955",2009,Banking,https://www.forbes.com/companies/lloyds-banking-group,Lloyds Banking Group,$58.5B
Arvind Krishna,United States,"282,100",1911,"IT, Internet, Software & Services",https://www.forbes.com/companies/ibm,IBM,$67.3B
Paul Hudson,France,"95,000",2004,Drugs & Biotechnology,https://www.forbes.com/companies/sanofi,Sanofi ,$44.6B
Carol B. Tomé,United States,"534,000",1907,Transportation and Logistics,https://www.forbes.com/companies/united-parcel-service,United Parcel Service,$97.2B
Jack Bowles,United Kingdom,"55,981",1902,"Food, Drink & Tobacco",https://www.forbes.com/companies/british-american-tobacco,British American Tobacco,$35.3B
Ralph Hamers,Switzerland,"71,385",1862,Banking,https://www.forbes.com/companies/ubs,UBS,$35.2B
Toshihiro Mibe,Japan,"211,374",1959,Automotive (Automotive and Suppliers),https://www.forbes.com/companies/honda-motor,Honda Motor,$130.2B
Takehiko Kakiuchi,Japan,"82,997",1870,Trading Companies,https://www.forbes.com/companies/mitsubishi,Mitsubishi,$146.9B
Xiang Ming Wang,China,"335,038",1982,Construction,https://www.forbes.com/companies/china-state-construction-engineering,China State Construction Engineering,$205.8B
Swaminathan Janakiraman,India,"245,652",1955,Banking,https://www.forbes.com/companies/state-bank-of-india,State Bank of India,$54.4B
Matthew Comyn,Australia,"44,375",1911,Banking,https://www.forbes.com/companies/commonwealth-bank,Commonwealth Bank,$21.9B
Guo Fu Gao,China,"61,686",1992,Banking,https://www.forbes.com/companies/shanghai-pudong-development,Shanghai Pudong Development,$54.8B
Gregory J. Hayes,United States,"174,000",1922,Aerospace & Defense,https://www.forbes.com/companies/raytheon-technologies,Raytheon Technologies,$64.4B
Francesco Starace,Italy,"66,279",1962,Utilities,https://www.forbes.com/companies/enel,Enel,$99.4B
Claudio Descalzi,Italy,"30,775",1953,Oil & Gas Operations,https://www.forbes.com/companies/eni,Eni,$90.5B
Richard D. Fairbank ,United States,"50,767",1994,Banking and Financial Services,https://www.forbes.com/companies/capital-one,Capital One,$32.1B
Giovanni Caforio,United States,"32,200",1933,Drugs & Biotechnology,https://www.forbes.com/companies/bristol-myers-squibb,Bristol Myers Squibb,$46.4B
James Quincey,United States,"79,000",1892,"Food, Soft Beverages, Alcohol & Tobacco",https://www.forbes.com/companies/coca-cola,Coca-Cola,$38.7B
Safara Catz,United States,"133,000",1977,"IT, Internet, Software & Services",https://www.forbes.com/companies/oracle,Oracle,$41.8B
Herman Oskarovich Gref,Russia,"287,866",1841,Banking,https://www.forbes.com/companies/sberbank,Sberbank,$57.4B
Darryl White,Canada,"43,863",1817,Banking and Financial Services,https://www.forbes.com/companies/bank-of-montreal,Bank of Montreal,$26.5B
Eduardo De Salles Bartolomeo,Brazil,"72,266",1942,Materials,https://www.forbes.com/companies/vale,Vale,$54.4B
Jean-Bernard Levy,France,"165,790",1955,Utilities,https://www.forbes.com/companies/edf,EDF ,$99.8B
Marc N. Casper ,United States,"130,000",1983,Drugs & Biotechnology,https://www.forbes.com/companies/thermo-fisher-scientific,Thermo Fisher Scientific,$39.2B
Philippe Brassac,France,"147,000",1894,Banking and Financial Services,https://www.forbes.com/companies/credit-agricole,Credit Agricole,$73.6B
Guillaume Faury,Netherlands,"126,495",1970,"Engineering, Manufacturing",https://www.forbes.com/companies/airbus,AIRBUS,$61.6B
W. Craig Jelinek,United States,"192,000",1983,Retail and Wholesale,https://www.forbes.com/companies/costco-wholesale,Costco Wholesale,$210.2B
Yang-wei Liu,Taiwan,Not found,1974,Technology Hardware & Equipment,https://www.forbes.com/companies/hon-hai-precision,Hon Hai Precision ,$214.6B
Alan Jope,United Kingdom,"148,000",1929,Packaged Goods,https://www.forbes.com/companies/unilever,Unilever,$62B
Thomas M. Rutledge,United States,"93,700",1993,Media,https://www.forbes.com/companies/charter-communications,Charter Communications,$51.7B
Jun Ohta,Japan,"86,781",2002,Banking,https://www.forbes.com/companies/sumitomo-mitsui-financial,Sumitomo Mitsui Financial,$35.5B
Ryan Lance,United States,"9,400",1875,"Construction, Oil & Gas Operations, Mining and Chemicals",https://www.forbes.com/companies/conocophillips,ConocoPhillips,$46.1B
Emma N. Walmsley,United Kingdom,"90,096",2000,Drugs & Biotechnology,https://www.forbes.com/companies/glaxosmithkline,GlaxoSmithKline,$46.9B
Carlo Messina,Italy,"108,043",2007,Banking,https://www.forbes.com/companies/intesa-sanpaolo,Intesa Sanpaolo,$47.8B
Roy Gori,Canada,"38,000",1887,Banking and Financial Services,https://www.forbes.com/companies/manulife,Manulife,$47.2B
Andrew J. Cecere,United States,"68,796",1929,Banking,https://www.forbes.com/companies/us-bancorp,US Bancorp,$23.1B
Martin Brudermüller,Germany,"111,047",1865,Chemicals,https://www.forbes.com/companies/basf,BASF,$92.9B
Xin Huai Zhou,Hong Kong,"19,086",1999,Oil & Gas Operations,https://www.forbes.com/companies/cnooc,CNOOC,$37.8B
Robert B. Ford,United States,"113,000",1888,Health Care Equipment & Services,https://www.forbes.com/companies/abbott-laboratories,Abbott Laboratories,$44.5B
José Ignacio Sánchez Galán,Spain,"45,000",1992,Utilities,https://www.forbes.com/companies/iberdrola,Iberdrola,$46.2B
Zhi Ren Lu,China,"77,872",2004,Materials,https://www.forbes.com/companies/china-shenhua-energy,China Shenhua Energy,$52B
Milton Maluhy Filho,Brazil,"99,600",1944,Banking,https://www.forbes.com/companies/itau-unibanco-holding,Itaú Unibanco Holding,$36B
James Umpleby,United States,"107,700",1925,"Engineering, Manufacturing",https://www.forbes.com/companies/caterpillar,Caterpillar,$51B
Kenichi Hori,Japan,"44,509",1947,Trading Companies,https://www.forbes.com/companies/mitsui,Mitsui,$108.3B
Masahiro Okafuji,Japan,"125,944",1858,Trading Companies,https://www.forbes.com/companies/itochu,Itochu,$108B
Walter W. Bettinger II,United States,"33,000",1971,Banking and Financial Services,https://www.forbes.com/companies/charles-schwab,Charles Schwab,$19B
William H. Rogers Jr.,United States,"52,641",1872,Banking,https://www.forbes.com/companies/truist-financial,Truist Financial,$23.2B
Albert Monaco,Canada,"13,000",1949,"Construction, Oil & Gas Operations, Mining and Chemicals",https://www.forbes.com/companies/enbridge,Enbridge,$37.6B
Toshiaki Higashihara,Japan,"368,247",1910,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/hitachi,Hitachi,$91.9B
", Tomonari Sato",Japan,"47,320",1984,Telecommunications Services,https://www.forbes.com/companies/kddi,KDDI,$49.2B
Chung Eui-sun,South Korea,"71,982",1967,Consumer Durables,https://www.forbes.com/companies/hyundai-motor,Hyundai Motor,$102.7B
He Ying Fang,China,"55,419",1987,Banking,https://www.forbes.com/companies/china-citic-bank,China Citic Bank,$57B
Alfred F. Kelly Jr.,United States,"21,500",1958,Banking and Financial Services,https://www.forbes.com/companies/visa,Visa,$25.5B
Brian Cornell,United States,"450,000",1902,Retail and Wholesale,https://www.forbes.com/companies/target,Target,$106B
Onur Genç,Spain,"110,432",1999,Banking,https://www.forbes.com/companies/bbva-banco-bilbao-vizcaya,BBVA-Banco Bilbao Vizcaya,$42B
Elon Reeve Musk,United States,"99,290",2003,Consumer Durables,https://www.forbes.com/companies/tesla,tesla,$53.8B
John C. May,United States,"75,600",1837,Capital Goods,https://www.forbes.com/companies/john-deere,Deere & Company,$44.5B
Sashidhar Jagdishan,India,"141,579",1994,Banking,https://www.forbes.com/companies/hdfc-bank,HDFC Bank,$22.5B
C. S. Venkatakrishnan,United Kingdom,"83,500",1896,Banking and Financial Services,https://www.forbes.com/companies/barclays,Barclays,$30.2B
Joachim Wenning PhD,Germany,"39,281",1880,Insurance,https://www.forbes.com/companies/munich-re,Munich Re,$84.9B
Hiroya Masuda,Japan,"243,612",1871,Insurance,https://www.forbes.com/companies/japan-post-holdings,Japan Post Holdings,$103.6B
Stefano Pessina,United States,"315,000",1901,Retail and Wholesale,https://www.forbes.com/companies/walgreens,Walgreens,$135.9B
Rainer M. Blair,United States,"80,000",1984,"Engineering, Manufacturing",https://www.forbes.com/companies/danaher,Danaher,$30.3B
Philippe Donnet,Italy,"75,000",1831,Insurance,https://www.forbes.com/companies/generali-group,Generali Group,$102.1B
Søren Skou,Denmark,"2,852",2009,Transportation,https://www.forbes.com/companies/moller-maersk,Møller-Maersk,$62B
Marvin R. Ellison,United States,"340,000",1921,Retailing,https://www.forbes.com/companies/lowes,Lowe's,$96.2B
Frederick W. Smith,United States,"600,000",1971,Transportation and Logistics,https://www.forbes.com/companies/fedex,FedEx,$91.5B
Frank Appel,Germany,"592,263",1995,Transportation,https://www.forbes.com/companies/deutsche-post,Deutsche Post,$96.6B
William S. Demchak,United States,"59,426",1845,Banking and Financial Services,https://www.forbes.com/companies/pnc-financial-services,PNC Financial Services,$19.9B
Hock E. Tan,United States,"20,000",1961,Semiconductors,https://www.forbes.com/companies/broadcom,Broadcom,$28.5B
Vadim Nikolayevich Vorobyov,Russia,Not found,1991,Oil & Gas Operations,https://www.forbes.com/companies/lukoil,LukOil,$125.1B
Geoffrey Straub Martha,Ireland,"90,000",1949,Health Care Equipment & Services,https://www.forbes.com/companies/medtronic,Medtronic,$31.8B
Christian Klein,Germany,"105,000",1972,"IT, Internet, Software & Services",https://www.forbes.com/companies/sap,SAP,$33.2B
Seok-Hee Lee,South Korea,"30,135",1949,Semiconductors,https://www.forbes.com/companies/sk-hynix,SK Hynix,$37.5B
Catherine MacGregor,France,"171,474",2008,Oil & Gas Operations,https://www.forbes.com/companies/engie,ENGIE ,$68.4B
James D. Taiclet,United States,"106,020",1912,Aerospace & Defense,https://www.forbes.com/companies/lockheed-martin,Lockheed Martin,$65.8B
Laurence Douglas Fink,United States,"18,400",1988,Diversified Financials,https://www.forbes.com/companies/blackrock,BlackRock,$20.3B
Peter Francis King,Australia,"40,143",1817,Banking,https://www.forbes.com/companies/westpac-banking,Westpac Banking Group,$20.5B
Lynn J. Good,United States,"27,605",1904,Utilities,https://www.forbes.com/companies/duke-energy,Duke Energy,$25.1B
Michael Dell,United States,"42,560",1984,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/dell-technologies,Dell Technologies,$106.8B
Xavier Huillard,France,"219,299",1899,"Construction, Oil & Gas Operations, Mining and Chemicals",https://www.forbes.com/companies/vinci,VINCI,$59.1B
Satoru Komiya,Japan,"43,257",1879,Insurance,https://www.forbes.com/companies/tokio-marine-holdings,Tokio Marine Holdings,$50.6B
Daniel Hajj Aboumrad,Mexico,"181,205",2000,"Telecommunications Services, Cable Supplier",https://www.forbes.com/companies/america-movil,América Móvil,$48.4B
Leonhard Birnbaum,Germany,"72,000",2000,Utilities,https://www.forbes.com/companies/eon,E.ON,$91.4B
Duncan Graham Wanblad,United Kingdom,"63,698",1917,Materials,https://www.forbes.com/companies/anglo-american,Anglo American,$41.5B
Octávio de Lazari Jr.,Brazil,"87,274",1943,Banking,https://www.forbes.com/companies/banco-bradesco,Banco Bradesco,$28.3B
Steven van Rijswijk,Netherlands,"56,000",1991,Diversified Financials,https://www.forbes.com/companies/ing-group,ING Group,$21.5B
Julie Spellman Sweet,Ireland,"624,000",1955,Professional Services,https://www.forbes.com/companies/accenture,Accenture,$56.7B
Darius Adamczyk,United States,"99,000",1906,Conglomerates,https://www.forbes.com/companies/honeywell-international,Honeywell International,$34.4B
Masahiro Kihara,Japan,"54,492",2003,Banking,https://www.forbes.com/companies/mizuho-financial,Mizuho Financial,$26.8B
Sanjiv Lamba,United Kingdom,"72,327",1879,Chemicals,https://www.forbes.com/companies/linde,Linde,$30.8B
Aditya Mittal,Luxembourg,"157,909",2006,Materials,https://www.forbes.com/companies/arcelormittal,ArcelorMittal,$76.7B
Victor Dodig,Canada,"45,282",1867,Banking,https://www.forbes.com/companies/canadian-imperial-bank,Canadian Imperial Bank,$18.7B
Dong Li Zhou,China,"61,854",1992,Construction,https://www.forbes.com/companies/poly-developments-holdings-group,Poly Developments & Holdings Group,$42.9B
Sanjay Mehrotra,United States,"43,000",1978,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/micron-technology,Micron Technology,$31.2B
Shayne Cary Elliott,Australia,"40,211",1835,Banking and Financial Services,https://www.forbes.com/companies/anz,ANZ,$18.4B
Yue Han,Taiwan,"45,174",2001,Insurance,https://www.forbes.com/companies/fubon-financial,Fubon Financial,$33.2B
Rui Wen Ke,China,"278,922",2002,Telecommunications Services,https://www.forbes.com/companies/china-telecom,China Telecom,$68.2B
Samuel N. Hazen,United States,"284,000",1968,Health Care Equipment & Services,https://www.forbes.com/companies/hca-healthcare,HCA Healthcare,$59.7B
Jim Fitterling,United States,"35,700",1897,"Construction, Oil & Gas Operations, Mining and Chemicals",https://www.forbes.com/companies/dow,Dow,$58.4B
José María Álvarez-Pallete López,Spain,"104,150",1924,Telecommunications Services,https://www.forbes.com/companies/telefonica,Telefónica,$46.4B
Jiu Sheng Zhu,China,"139,494",1984,Construction,https://www.forbes.com/companies/china-vanke,China Vanke,$71.4B
Ross Maxwell McEwan,Australia,"33,275",1981,Banking,https://www.forbes.com/companies/national-australia-bank,NAB - National Australia Bank,$15.8B
Chang Li,Taiwan,"57,100",1975,Insurance,https://www.forbes.com/companies/cathay-financial,Cathay Financial,$34.5B
Cristiano R. Amon,United States,"45,000",1985,Semiconductors,https://www.forbes.com/companies/qualcomm,Qualcomm,$36B
Nicolas Hieronimus,France,"85,252",1909,Packaged Goods,https://www.forbes.com/companies/loreal,L'Oréal,$38.2B
Thomas Joseph Wilson II,Canada,"54,700",1931,Insurance,https://www.forbes.com/companies/allstate,Allstate,$50.6B
Not found,China,"204,815",1955,Consumer Durables,https://www.forbes.com/companies/saic-motor,SAIC Motor,$121.4B
Sandeep Bakhshi,India,"98,750",1994,Banking,https://www.forbes.com/companies/icici-bank,ICICI Bank,$21.9B
Haijiao Ge,China,"46,175",1992,Banking,https://www.forbes.com/companies/china-everbright-bank,China Everbright Bank,$42.4B
Daniel O'Day,United States,"14,000",1987,Drugs & Biotechnology,https://www.forbes.com/companies/gilead-sciences,Gilead Sciences,$27.4B
Candy Yuen,China,"107,000",1991,Insurance,https://www.forbes.com/companies/china-pacific-insurance,China Pacific Insurance,$68.1B
Jensen Huang,United States,"22,473",1993,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/nvidia,NVIDIA,$26.9B
Robert A. Bradway,United States,"24,200",1980,Drugs & Biotechnology,https://www.forbes.com/companies/amgen,Amgen,$26B
Lance M. Fritz,United States,"29,905",1862,Transportation,https://www.forbes.com/companies/union-pacific,Union Pacific,$22.7B
Seiji Inagaki,Japan,"64,823",1902,Insurance,https://www.forbes.com/companies/dai-ichi-life-insurance,Dai-ichi Life Insurance,$66.7B
John J. Donahoe II,United States,"73,300",1964,"Clothing, Shoes, Sports Equipment",https://www.forbes.com/companies/nike,Nike,$46.9B
Christophe Weber,Japan,"47,099",1781,Drugs & Biotechnology,https://www.forbes.com/companies/takeda-pharmaceutical,Takeda Pharmaceutical,$31.5B
Jacek Olczak,United States,"69,600",1847,"Food, Drink & Tobacco",https://www.forbes.com/companies/philip-morris-international,Philip Morris International,$31.5B
Dan Schulman,United States,"30,900",1998,Banking and Financial Services,https://www.forbes.com/companies/paypal,PayPal,$25.6B
Yong Tang,Hong Kong,"49,478",1994,Construction,https://www.forbes.com/companies/china-resources-land,China Resources Land,$33.6B
Pik Kuen Wong,Singapore,"30,809",1912,Banking,https://www.forbes.com/companies/oversea-chinese-banking,Oversea-Chinese Banking,$22.9B
Fang Hongbo,China,"166,000",1968,"Engineering, Manufacturing",https://www.forbes.com/companies/midea-group,Midea Group,$50.6B
Alan D. Schnitzer,United States,"30,000",1864,Insurance,https://www.forbes.com/companies/travelers,Travelers,$35.3B
David A. Ricks,United States,"36,000",1876,Drugs & Biotechnology,https://www.forbes.com/companies/eli-lilly,Eli Lilly,$28.3B
Dirk van de Put,United States,"79,000",2012,"Food, Drink & Tobacco",https://www.forbes.com/companies/mondelez-international,Mondelez International,$28.7B
Christopher J. Kempczinski,United States,"200,000",1955,"Hotels, Restaurants & Leisure",https://www.forbes.com/companies/mcdonalds,McDonald's,$23.2B
H. Lawrence Culp Jr.,Canada,"168,000",1892,"Engineering, Manufacturing",https://www.forbes.com/companies/general-electric,General Electric,$74.1B
Frédéric Oudéa,France,"117,000",1864,Banking and Financial Services,https://www.forbes.com/companies/societe-generale,Société Générale,$35.6B
Jean-Pascal Tricoire,France,"128,000",1836,"Engineering, Manufacturing",https://www.forbes.com/companies/schneider-electric,Schneider Electric,$34.2B
Michael F. Roman,United States,"38,000",1902,Packaged Goods,https://www.forbes.com/companies/3m,3M,$35.4B
Daniel P. Amos,United States,"12,447",1955,Insurance,https://www.forbes.com/companies/aflac,Aflac,$22.1B
Alka Mittal,India,"51,280",1956,Oil & Gas Operations,https://www.forbes.com/companies/oil-natural-gas,Oil & Natural Gas,$66.3B
Tom Fanning,United States,"27,300",1945,Utilities,https://www.forbes.com/companies/southern-company,Southern Company,$23.2B
Christian Sewing,Germany,"82,969",1870,Banking,https://www.forbes.com/companies/deutsche-bank,Deutsche Bank,$36.7B
Auttapol Rerkpiboon,Thailand,Not found,1978,Oil & Gas Operations,https://www.forbes.com/companies/ptt,PTT ,$70.6B
Tzar Kuoi Li,Hong Kong,"300,000",2014,Conglomerates,https://www.forbes.com/companies/ck-hutchison,CK Hutchison,$36.1B
Murray Edwards,Canada,"9,735",1973,Oil & Gas Operations,https://www.forbes.com/companies/canadian-natural-resources,Canadian Natural Resources,$24B
Kevin D. Strain,Canada,"50,000",1865,Banking and Financial Services,https://www.forbes.com/companies/sun-life-financial,Sun Life Financial,$29.8B
Kathy Warden,United States,"90,000",1939,Aerospace & Defense,https://www.forbes.com/companies/northrop-grumman,Northrop Grumman,$35.7B
Juan Ricardo Luciano,United States,"41,000",1902,"Food, Drink & Tobacco",https://www.forbes.com/companies/archer-daniels-midland,Archer Daniels Midland,$85.3B
Michael J. Hennigan,United States,"17,700",2009,Oil & Gas Operations,https://www.forbes.com/companies/marathon-petroleum,Marathon Petroleum,$119.8B
Wan Chun Zheng,China,"60,232",1996,Banking,https://www.forbes.com/companies/china-minsheng-bank,China Minsheng Bank,$50.1B
Nigel David Wilson,United Kingdom,"15,104",1836,Insurance,https://www.forbes.com/companies/legal-general-group,Legal & General Group,$62.5B
Reed Hastings Ted Sarandos,United States,"11,300",1997,Media & Advertising,https://www.forbes.com/companies/netflix,Netflix,$30.4B
Tricia Griffith,United States,"49,000",1937,Insurance,https://www.forbes.com/companies/progressive,Progressive,$48.1B
Xu Ping Chen,China,"44,065",1993,Construction,https://www.forbes.com/companies/longfor-group-holdings,Longfor Group Holdings,$34.8B
Piyush Gupta,Singapore,"33,000",1968,Banking,https://www.forbes.com/companies/dbs,DBS,$12.4B
Zhi Jian Yang,China,"26,852",2005,Transportation,https://www.forbes.com/companies/cosco-shipping,Cosco Shipping,$51.8B
Qi Tao Liu,China,"135,813",2006,Construction,https://www.forbes.com/companies/china-communications-construction,China Communications Construction,$108.4B
Alison Marie Rose-Slade,United Kingdom,"57,800",1968,Banking,https://www.forbes.com/companies/natwest-group,NatWest Group,$17.9B
Chris M. Crane,United States,"31,518",2000,Utilities,https://www.forbes.com/companies/exelon,Exelon,$39.3B
Bruce D. Broussard,United States,"96,900",1961,Drugs & Biotechnology,https://www.forbes.com/companies/humana,Humana,$84.1B
Phebe N. Novakovic,United States,"89,775",1952,Aerospace & Defense,https://www.forbes.com/companies/general-dynamics,General Dynamics,$38.5B
Robert Jeffrey Orr,Canada,"33,700",1925,Diversified Financials,https://www.forbes.com/companies/power-corp-of-canada,Power Corp of Canada,$57.9B
Abdulla Mubarak Nasser Al-Khalifa,Qatar,Not found,1964,Banking,https://www.forbes.com/companies/qatar-national-bank,Qatar National Bank,$14.2B
Werner Baumann,Germany,"99,637",1863,Drugs & Biotechnology,https://www.forbes.com/companies/bayer,Bayer ,$52.1B
Scott Nuttall Joseph Bae,United States,"3,238",1976,Diversified Financials,https://www.forbes.com/companies/kkr,KKR,$19B
Tzar Kuoi Li,China,"131,387",1992,Construction,https://www.forbes.com/companies/country-garden-holdings,Country Garden Holdings,$81.1B
James L. Robo,United States,"15,000",1984,Utilities,https://www.forbes.com/companies/nextera-energy,NextEra Energy,$23.7B
Jong-Kyoo Yoon,South Korea,164,1963,Banking,https://www.forbes.com/companies/kb-financial-group,KB Financial Group,$33.9B
Chen Wenjian,China,"294,013",1989,Construction,https://www.forbes.com/companies/china-railway-group,China Railway Group,$166.5B
Enrique Lores,United States,"51,000",1939,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",https://www.forbes.com/companies/hp,HP,$65B
Frank Vang-Jensen,Finland,"26,894",1974,Banking,https://www.forbes.com/companies/nordea-bank,Nordea Bank,$13.6B
Dong Ning Zhang,Japan,Not found,2005,Food Markets,https://www.forbes.com/companies/seven-i-holdings,Seven & I Holdings,$78.5B
Mark S. Little,Canada,"16,922",1919,Oil & Gas Operations,https://www.forbes.com/companies/suncor-energy,Suncor Energy,$31.2B
Marc Benioff,United States,"40,447",1999,"IT, Internet, Software & Services",https://www.forbes.com/companies/salesforce,Salesforce.com,$26.5B
Benoît Potier,France,"66,436",1902,Chemicals,https://www.forbes.com/companies/air-liquide,Air Liquide,$27.6B
Koji Arima,Japan,"168,391",1949,Consumer Durables,https://www.forbes.com/companies/denso,Denso,$49.5B
Thomas P. Gibbons,United States,"49,100",1965,Banking,https://www.forbes.com/companies/bank-of-ny-mellon,Bank of New York Mellon,$16.1B
Michael Miebach,United States,"24,000",1966,Business Services & Supplies,https://www.forbes.com/companies/mastercard,Mastercard,$18.9B
Fausto de Andrade Ribeiro,Brazil,"84,597",1808,Banking,https://www.forbes.com/companies/banco-do-brasil,Banco do Brasil,$29.5B
Sarah London,United States,"72,500",1984,Drugs & Biotechnology,https://www.forbes.com/companies/centene,Centene,$126B
Keki M. Mistry,India,"5,490",1977,Business Services & Supplies,https://www.forbes.com/companies/hdfc,HDFC,$18.5B
Richard Adkerson,United States,"24,700",1897,Materials,https://www.forbes.com/companies/freeport-mcmoran,Freeport-McMoRan,$24.3B
Belén Garijo López,Germany,"60,334",1668,Drugs & Biotechnology,https://www.forbes.com/companies/merck-kgaa-germany,"Merck KGaA, Darmstadt, Germany and its affiliates",$23.3B
Gonzalo Gortázar Rotaeche,Spain,"49,762",1980,Banking,https://www.forbes.com/companies/caixabank,CaixaBank,$14.6B
Björn Klas Otto Rosengren,Switzerland,"105,000",1883,Conglomerates,https://www.forbes.com/companies/abb,ABB,$28.9B
Martin Lundstedt,Sweden,"95,850",1927,Consumer Durables,https://www.forbes.com/companies/volvo-group,Volvo Group,$43.4B
Vicki A. Hollub,United States,"11,678",1920,Oil & Gas Operations,https://www.forbes.com/companies/occidental-petroleum,Occidental Petroleum,$26B
John Mark Pettigrew,United Kingdom,"23,683",1990,Utilities,https://www.forbes.com/companies/national-grid,National Grid,$20.8B
Brian S. Tyler,United States,"76,000",1833,Drugs & Biotechnology,https://www.forbes.com/companies/mckesson,McKesson,$257B
Yong-Byoung Cho,South Korea,"20,000",2001,Diversified Financials,https://www.forbes.com/companies/shinhan-financial-group,Shinhan Financial Group,$29.3B
Peter T. F. M Wennink,Netherlands,"29,861",1984,Semiconductors,https://www.forbes.com/companies/asml-holding,ASML Holding,$20.7B
Kenneth A. Seitz,Canada,"23,500",2017,Chemicals,https://www.forbes.com/companies/nutrien,Nutrien,$27.6B
Johan Patrik Lennart Forssell,Sweden,"20,054",1916,Diversified Financials,https://www.forbes.com/companies/investor-ab,Investor AB,$12.8B
Ho-Sung Song,South Korea,"35,501",1944,Consumer Durables,https://www.forbes.com/companies/kia,KIA,$61B
Benoît Bazin,France,"167,816",1665,Construction,https://www.forbes.com/companies/saint-gobain,Saint-Gobain,$52.2B
